keys,en
card_atonement_strike_name,Atonement Strike
card_atonement_strike_desc,"Deals 5 damage.\nGain 3 Atonement."
card_sinful_strike_name,Sinful Strike
card_sinful_strike_desc,"Deals 10 damage.\nApplies Shame for 2 turns."
card_penitent_revelation_name,Penitent Revelation
card_penitent_revelation_desc,"Sacrifice a card.\nDraw cards based on Atonement: 10+ → 1, 20+ → 2, 30+ → 3."
card_atonement_barrier_name,Atonement Barrier
card_atonement_barrier_desc,"Take 5 damage.\nGain Block based on Atonement: 10+ → 10, 20+ → 16, 30+ → 22."
card_blood_sacrifice_name,Blood Sacrifice
card_blood_sacrifice_desc,"Take 5 damage.\nGain 30 Atonement.\nExcess converts to Block."
card_price_of_despair_name,Price of Despair
card_price_of_despair_desc,"Choose a target.\nDouble negative statuses on target.\nHeal based on Atonement: 10+ → 6, 20+ → 11, 30+ → 15."
card_scouring_flame_name,Scouring Flame
card_scouring_flame_desc,"For each negative status: take 3 damage, remove status, gain 5 Atonement."
card_sin_of_vanity_name,Sin of Vanity
card_sin_of_vanity_desc,"Deal 4 damage.\n+2 per negative status on you and positive status on enemy."
card_thirst_for_punishment_name,Thirst for Punishment
card_thirst_for_punishment_desc,"Take 5 damage.\nGain energy based on Atonement: 10+ → 1, 20+ → 2, 30+ → 3."
card_shield_of_penance_name,Shield of Penance
card_shield_of_penance_desc,"Gain 5 Block.\n+5 Block if you have 2+ negative statuses."
card_void_strike_name,Void Strike
card_void_strike_desc,"Deal 6 damage.\n+4 damage if Atonement = 0."
card_cry_of_despair_name,Cry of Despair
card_cry_of_despair_desc,"Deal 5 damage.\nHeal based on Atonement: 10+ → 5, 20+ → 10, 30+ → 15.\nConsume all Atonement."
card_blind_fury_name,Blind Fury
card_blind_fury_desc,"Deal 3 hits of 4 damage.\nIf Bleeding exists, all hits target the same enemy."
card_smell_of_blood_name,Smell of Blood
card_smell_of_blood_desc,"Draw 1 card per enemy with Bleeding.\nOtherwise draw 2 cards and take 3 damage."
card_molerat_hide_name,Molerat Hide
card_molerat_hide_desc,"Gain 10 Block.\nAttackers receive Bleeding."
card_tunnel_ambush_name,Tunnel Ambush
card_tunnel_ambush_desc,"Next attack deals double damage.\nSkip your next turn."
card_bloodletting_name,Bloodletting
card_bloodletting_desc,"Remove all Bleeding.\nDeal damage equal to stacks × 2."
card_blood_trail_name,Blood Trail
card_blood_trail_desc,"Deals 6 damage.\nIf enemy has Bleed, deals 10 damage."
card_frozen_earth_name,Frozen Earth
card_frozen_earth_desc,"Gain 10 Block.\nApply 3 Cold to yourself.\nIf you have Cold, gain 4 additional Block."
card_rodent_agility_name,Rodent Agility
card_rodent_agility_desc,"Draw 2 cards.\nApply 1 Bleed to yourself for 2 turns."
card_frozen_bite_name,Frozen Bite
card_frozen_bite_desc,"Deals 5 damage.\nApplies 5 stacks of Cold to the enemy."
card_rotten_cut_name,Rotten Cut
card_rotten_cut_desc,"Deals 2 damage.\nDoubles Bleed stacks on the enemy."
card_beast_pulse_name,Beast Pulse
card_beast_pulse_desc,"Apply Regrowth passive (5 charges).\nIf health < 30, gain 2 energy."
card_blood_thread_name,Blood Thread
card_blood_thread_desc,"All enemies gain 1 Bleed.\nGain 3 Strength per enemy."
card_mole_toss_name,Mole Toss
card_mole_toss_desc,"Deals random damage from 1 to 10."
card_worm_spirit_name,Worm Spirit
card_worm_spirit_desc,"Removes all statuses and passives from the hero.\nGrants Regeneration for 3 turns.\nBase healing: 2, +1 per removed effect."
card_flesh_rage_name,Flesh Rage
card_flesh_rage_desc,"Apply 1 Bleed to yourself.\nIf you have Bleed — gain 1 energy.\nIf not — draw 1 card."
card_torn_wound_name,Torn Wound
card_torn_wound_desc,"Deals 4 damage.\nApplies 1 stack of Bleed to the enemy."
status_poison_name,Poison
status_bleed_name,Bleed
status_burn_name,Burn
status_cold_name,Cold
status_weakness_name,Weakness
status_vulnerability_name,Vulnerability
status_strength_name,Strength
status_regen_name,Regeneration
status_shield_name,Shield
status_frozen_name,Frozen
status_gangrene_name,Gangrene
passive_regrowth_name,Regrowth
passive_regrowth_desc,"Heals increasing amount each turn."
passive_venomous_shield_name,Venomous Shield
passive_venomous_shield_desc,"Applies Poison to attacker when hit."
passive_wrath_name,Wrath
"passive_wrath_desc","At the start of each turn, gain +1 Strength. Strength grows with each activation"
passive_freezing_ground_name,Freezing Ground
passive_freezing_ground_desc,"Applies Cold to attacker when hit."
passive_denial_name,Denial
passive_denial_desc,"Blocks negative statuses."
passive_shame_name,Shame
passive_shame_desc,"Increases incoming damage by 25% and doubles Atonement gained."
enemy_mole_mutant_name,Mole Mutant
enemy_mole_mutant_desc,"A pathetic blind creature. It regenerates slowly."
enemy_strong_mole_name,Strong Mole
enemy_strong_mole_desc,"A stout mole with powerful claws. Alternates attack and defense."
enemy_rabid_rat_name,Rabid Rat
enemy_rabid_rat_desc,"A frenzied rat that spreads bleeding wounds."
enemy_mole_fungus_name,Mole Fungus
enemy_mole_fungus_desc,"A mushroom-infested horror. Grows stronger each turn."
enemy_many_headed_mole_name,Many-Headed Mole
enemy_many_headed_mole_desc,"A three-headed abomination. Its icy touch freezes the ground."
enemy_fungal_miner_name,Fungal Miner
enemy_fungal_miner_desc,"A miner consumed by fungus. It digs and poisons."
enemy_rodent_mound_name,Rodent Mound
enemy_rodent_mound_desc,"A massive pile of writhing rodents. The swarm consumes all."
ui_attack,Attack
ui_defend,Defend
ui_heal,Heal
ui_buff,Buff
ui_debuff,Debuff
ui_utility,Utility
ui_resource,Resource
msg_not_enough_energy,Not enough energy!
msg_target_selection,Select target
msg_victory,Victory!
msg_defeat,Defeat...
"deck_size_buff_label","+%d hand size"
reward_choose_card,Choose card
reward_take_card,Take card
reward_choose_artifact,Choose artifact
reward_take_artifact,Take artifact
reward_take_gold,Take gold
reward_take_heal,Heal
reward_take_damage,Accept
reward_choose,Choose
artifact_strange_mushroom_name,Strange Mushroom
artifact_strange_mushroom_desc,"+%d max HP, but start each fight with Poison for %d turns"
artifact_strange_mushroom_lore,"A strange mushroom found in the depths. It grants power, but demands a price."
artifact_heros_brooch_name,Hero's Brooch
artifact_heros_brooch_desc,"Every %drd turn start with %d Strength"
artifact_heros_brooch_lore,"The brooch of an old hero. It remembers many battles and holds a fragment of past strength."
artifact_kings_order_name,King's Order
artifact_kings_order_desc,"Every %dth card played deals %dx damage"
artifact_kings_order_lore,"An ancient royal decree signed in blood. His words still hold power."
artifact_healers_amulet_name,Healer's Amulet
artifact_healers_amulet_desc,"When receiving %d+ negative statuses, heal %d HP"
artifact_healers_amulet_lore,"An amulet woven from light and prayers. It feels pain and responds with warmth."
artifact_abyss_dust_name,Abyss Dust
artifact_abyss_dust_desc,"Makes a random card in your deck cost %d"
artifact_abyss_dust_lore,"A handful of black dust that erases the very memory of cost. Everything has its price, but not in the abyss."
artifact_unknown_name,Unknown Artifact
artifact_trigger_one_time,Triggers once
artifact_trigger_turn_count_start,Every %d turns (at start)
artifact_trigger_turn_count_end,Every %d turns (at end)
artifact_trigger_on_start_fight,Triggers at fight start
artifact_trigger_card_played_counter,Every %d cards played
artifact_trigger_conditional,Triggers on condition
artifact_trigger_custom,Special logic
"artifact_trigger_health_dropped_below_percent","Triggers when health drops below %d%%"
"artifact_trigger_health_dropped_below_flat","Triggers when health drops below %d"
action_use_key,Use Key
action_break,Break
action_pray,Pray
action_drink,Drink
action_search,Search
action_rest,Rest
chest_reward_title,You found treasures!
chest_fail_title,Attempt failed...
bonfire_title,Campfire rest
bonfire_rest_result,Strength restored!
bonfire_pray_result,The gods favor you!
bonfire_sharp_result,Choose a card to upgrade!
action_sharp_weapon,Sharpen weapon
gold_label,+%d
heal_label,+%d HP
damage_label,-%d HP
energy_buff_label,+%d Energy
buff_duration,"Duration: %d combat rooms"
buff_permanent,"Duration: eternally"
reward_take_buff,Accept buff
bonfire_title,Campfire rest
bonfire_rest_result,Strength restored!
bonfire_pray_result,The gods favor you!
bonfire_sharp_result,Choose a card to upgrade!
action_sharp_weapon,Sharpen weapon
chest_reward_title,You found treasures!
chest_fail_title,Attempt failed...
upgrade_card_title,Select %d card(s) to upgrade
upgrade_card_select,Select
upgrade_card_deselect,Deselect
upgrade_card_confirm,Upgrade

"action_self","Grants"
"action_enemy","Deals"
"action_all_enemies","Deals to all enemies"
"action_all_allies","Grants to all allies"
"action_any","Grants"

"status_action_self","Gain"
"status_action_enemy","Target gets"
"status_action_all_enemies","All enemies get"
"status_action_all_allies","Allies get"
"status_action_any","Target gets"

"condition_has_bleed","target has Bleed"
"condition_has_cold","has Cold"
"condition_health_less_than_30","health below 30"
"condition_no_negative_status","target has no negative statuses"
"condition_target_has_weakness","target has Weakness"
"condition_target_has_poison","target has Poison"
"condition_unknown","condition met"

"effect_damage","%s %d damage"
"effect_block","%s %d block"
"effect_heal","%s %d HP"
"effect_apply_status_stacks_duration","%s %d %s for %d turn"
"effect_apply_status_stacks","%s %d %s"
"effect_apply_status_duration","%s %s for %d turn"
"effect_apply_passive","%s %s"
"effect_modify_stat","%s %s by %d"
"effect_draw_card","Draws %d cards"
"effect_gain_energy","Grants %d energy"
"effect_scaled_damage","Deals damage based on %s"
"effect_scaled_block","Grants block based on %s"
"effect_scaled_heal","Restores HP based on %s"
"effect_scaled_energy","Grants energy based on %s"
"effect_scaled_draw","Draws cards based on %s"
"effect_conditional_both","If %s, %s. Otherwise, %s."
"effect_conditional_true","If %s, %s."
"effect_conditional_false","If %s, %s."
"effect_convert","Converts %s to %s (ratio %f)."
"effect_convert_excess_to_block","Excess converts to block."
"effect_sacrifice_card","Sacrifices %d cards"
"effect_custom","Special effect"
"card_no_effect_description","No effects"

"custom_blood_thread","Grants 3 Strength per living enemy."
"custom_flesh_rage","If has Bleed, gain 1 energy. Otherwise draw 1 card."
"custom_mole_toss","Deals random damage from 1 to 10."
"custom_rotten_cut","Doubles Bleed stacks on target."
"custom_worm_spirit","Removes all statuses and passives. Grants Regeneration 2 + number of removed effects for 3 turn."

"idol_title","Idol"
"action_make_offering","Make Offering"
"action_give_blood","Give Blood"
"action_loot_shrine","Loot Shrine"
"action_sharp_weapon","Sharpen weapon"

"idol_offering_small","The gods accepted a modest offering."
"idol_offering_medium","The gods are pleased with your generosity."
"idol_offering_great","The gods are overjoyed by your sacrifice!"
"idol_blood_result","You gave your blood to the idol..."
"idol_loot_success","You found valuable trophies!"
"idol_loot_fail","The shrine has cursed you!"

"cauldron_title","Cauldron"
"action_transform_card","Transform card"
"action_brew_potion","Brew potion"
"cauldron_transform_title","Select a card to transform"
"cauldron_brew_result","Potion brewed!"
"transform_card_confirm","Transform"

"potion_use","Use"
"potion_tooltip","Potion\nEffects:"
"potion_effect_heal","Heal: %d HP"
"potion_effect_status","%d %s"

"potion_heal_name","Heal Potion"
"potion_energy_name","Energy Potion"
"potion_draw_name","Draw Potion"
"potion_explosion_name","Explosion Potion"
"potion_cleanse_name","Cleanse Potion"
"potion_poison_name","Poison Potion"
"potion_block_name","Block Potion"

"custom_cleanse","Removes all statuses and passives."

"reward_take_potion","Take potion"

"potion_discard","Discard"

"potion_inventory_full","Inventory full"

"trap_title","Trap"
"action_disarm_trap","Disarm"
"action_search_trap","Search"
"trap_disarm_success","Trap disarmed!"
"trap_disarm_fail","Trap triggered!"
"trap_search_success","You found valuables!"
"trap_search_fail","Trap triggered!"

"torture_rack_title","Torture Rack"
"action_lose_flesh","Lose Flesh"
"action_craft","Craft"
"rack_lose_flesh_result","You lost a part of yourself..."
"rack_craft_success","You crafted an artifact!"
"rack_craft_fail","Crafting failed!"
"lost_max_hp_label","- %d max HP"
"reward_accept","Accept"

"shop_title","Shop"
"action_trade","Trade"
"action_rob","Rob"
"shop_trade_title","Welcome to the shop!"
"shop_leave","Leave"
"shop_trade_welcome","Select an item"

"end_turn_button_label", "End turn"
"button_path_go", "Go"

"shop_rob_result","Treachery will be punished!"

"event_miner_name","Flooded Mine"
"event_miner_narrative","You stumbled upon a mushroom-covered miner in a flooded mine. His face shows apathy and longing - it's hard to tell if he's even alive."
"event_miner_action_search","Search the body"
"event_miner_action_help","Help the poor soul"
"event_miner_search_success","Coming closer, you see that the poor man has long been dead. Searching the body, you find something useful."
